,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
114,Yārāda,IN,1630791430,17.65,83.2667,79.12,100,75,5.75
151,Grindavik,IS,1630791441,63.8424,-22.4338,55.35,100,90,36.82
49,Hambantota,LK,1630791411,6.1241,81.1185,77.34,100,40,4.61
524,Sandakan,MY,1630791552,5.8402,118.1179,74.88,100,20,2.3
445,Petropavlovsk-Kamchatskiy,RU,1630791528,53.0452,158.6483,50.59,100,0,6.71
22,Luang Prabang,LA,1630791403,19.8856,102.1347,71.82,100,72,0.78
31,Tuktoyaktuk,CA,1630791405,69.4541,-133.0374,50.0,100,75,5.75
33,Paoua,CF,1630791405,7.2427,16.4406,69.08,99,100,3.76
411,Nkoteng,CM,1630791519,4.5167,12.0333,66.88,99,100,2.8
578,Urusha,RU,1630791568,54.05,122.9,56.71,99,100,4.76
344,Kapit,MY,1630791499,2.0167,112.9333,71.08,99,96,0.94
278,Ha Giang,VN,1630791479,22.8333,104.9833,75.07,98,66,0.87
28,Upernavik,GL,1630791404,72.7868,-56.1549,36.27,98,100,7.29
107,Cherskiy,RU,1630791428,68.75,161.3,34.34,98,100,18.68
521,Ouadda,CF,1630791551,8.0777,22.4007,68.36,98,100,3.02
262,Huanren,CN,1630791474,41.2647,125.3667,61.03,97,16,0.78
522,Ouésso,CG,1630791552,1.6136,16.0517,70.52,97,97,2.53
272,Pingzhuang,CN,1630791477,42.0372,119.2889,62.55,97,98,4.72
519,Peno,RU,1630791551,56.9262,32.7426,39.83,97,98,6.78
458,Gawler,AU,1630791529,-34.6,138.7333,49.91,97,57,0.98
259,Manzhouli,CN,1630791473,49.6,117.4333,58.55,97,100,13.47
180,Aasiaat,GL,1630791449,68.7098,-52.8699,35.22,97,100,4.5
473,Pabradė,LT,1630791536,55.0,25.7833,46.83,97,88,5.01
294,Birao,CF,1630791484,10.2849,22.7882,71.76,97,100,4.85
91,Raja,SS,1630791423,8.4596,25.678,68.9,97,100,4.94
327,Te Anau,NZ,1630791494,-45.4167,167.7167,48.74,96,100,5.66
40,Rudnichnyy,RU,1630791408,59.617,52.4703,39.42,96,85,8.23
531,Velizh,RU,1630791554,55.6056,31.1967,37.78,96,24,4.99
333,Chifeng,CN,1630791496,42.2683,118.9636,63.88,96,100,4.14
478,Sungai Penuh,ID,1630791538,-2.0833,101.3833,62.76,96,100,3.31
535,Amapá,BR,1630791556,1.0,-52.0,73.38,96,91,3.65
469,Ipixuna,BR,1630791535,-1.7625,-48.8043,76.95,96,100,3.87
189,Troitsko-Pechorsk,RU,1630791452,62.7084,56.1964,44.67,96,100,11.61
358,Los Llanos de Aridane,ES,1630791503,28.6585,-17.9182,73.15,96,0,4.61
487,Tahe,CN,1630791541,52.3333,124.7333,57.61,96,100,3.56
455,Amguri,IN,1630791531,26.8,94.5333,75.45,96,62,2.42
340,Myanaung,MM,1630791498,18.2833,95.3167,74.61,96,100,9.1
434,Harda,IN,1630791525,22.3333,77.1,74.91,95,100,4.79
50,Hobart,AU,1630791411,-42.8794,147.3294,44.22,95,75,1.01
400,Nanning,CN,1630791516,22.8167,108.3167,79.25,95,1,4.81
349,Magadan,RU,1630791500,59.5667,150.8,54.34,95,98,5.99
504,Kabanjahe,ID,1630791546,3.1001,98.4908,63.36,95,95,1.32
371,Nelson Bay,AU,1630791507,-32.7167,152.15,59.05,95,100,1.99
410,Hede,CN,1630791518,33.7681,120.2517,75.87,94,100,12.59
237,Hisai-motomachi,JP,1630791466,34.6667,136.4667,71.4,94,100,0.49
190,Santa Maria,BR,1630791452,-29.6842,-53.8069,61.9,94,75,9.22
431,Manche,FR,1630791524,49.0,-1.1667,63.81,94,64,3.58
113,Port Elizabeth,ZA,1630791430,-33.918,25.5701,55.69,94,40,3.44
304,Kidero,RU,1630791487,42.1932,45.9614,44.91,94,93,2.17
54,Vaini,TO,1630791412,-21.2,-175.2,75.36,94,75,8.05
12,Salalah,OM,1630791399,17.0151,54.0924,78.89,94,90,5.75
538,Makurdi,NG,1630791556,7.7411,8.5121,74.01,94,91,4.34
446,Jiexiu,CN,1630791528,37.0244,111.9125,61.11,94,68,2.13
26,Bluff,NZ,1630791403,-46.6,168.3333,48.79,94,100,5.7
507,Gunjur,GM,1630791547,13.2019,-16.7339,80.67,94,40,0.0
247,Santo Tomas,PH,1630791470,14.1079,121.1414,79.05,94,100,1.97
484,Luján,AR,1630791540,-34.5703,-59.105,57.97,94,100,4.0
163,Mount Gambier,AU,1630791257,-37.8333,140.7667,39.11,93,75,5.75
147,Yāval,IN,1630791440,21.1667,75.7,75.72,93,100,8.43
99,Tondano,ID,1630791425,1.3038,124.9112,68.09,93,79,1.25
444,Teknāf,BD,1630791528,20.8624,92.3058,78.03,93,95,8.08
513,Chemax,MX,1630791549,20.65,-87.9333,76.77,93,100,2.95
472,Dhārūr,IN,1630791536,18.8167,76.1167,70.5,93,100,13.56
405,Olafsvik,IS,1630791517,64.8945,-23.7142,53.51,93,100,36.04
